1.被觀察者的訊息傳達?,2.被觀察者的肢體語言?,3.被觀察者的動作和手勢?,4.被觀察者與人眼神接觸是?,5.被觀察者的聲音是?,6.被觀察者使用語助詞的頻繁度?,7.整體來說，被觀察者的說話效果如何?,8.描述你對這位被觀察者的整體心得?
很微弱,不安,受限地,游移,堅定地,1,8,
很微弱,不安,受限地,游移,堅定地,4,7,
很明確,不安,含糊地,游移,猶豫不決地,8,4,
很明確,沉穩,看不太到,持續,堅定地,6,6,內容感人。加油!
很明確,不安,,游移,小心謹慎地,5,5,
很明確,沉穩,清晰地,持續,小心謹慎地,4,7,珍惜生命珍惜當下，希望你媽媽能早日康復
不夠集中,沉穩,含糊地,持續,猶豫不決地,7,4,可能會想知道更多與母親的互動或是故事，但可能都只集中在闡述病情。
很微弱,做作,受限地,游移,堅定地,10,2,從說話者的態度可以看到媽媽的影子 個性情緒太多
很明確,做作,受限地,游移,小心謹慎地,5,4,蠻個人的故事 聽起來有點壓抑 加油
很明確,沉穩,清晰地,游移,小心謹慎地,2,8,希望阿姨能好好的~
不夠集中,有點不安,清晰地,游移,小心謹慎地,6,6,表達的普通上課但有點忘記內容
很微弱,不安,受限地,游移,猶豫不決地,4,7,"表達的不夠清晰
"
很明確,沉穩,清晰地,持續,堅定地,3,7,講話很順且幽默。
很明確,沉穩,清晰地,游移,堅定地,3,7,講話很順，很幽默，內容有趣
不夠集中,沉穩,清晰地,持續,猶豫不決地,6,5,有點忘記在分享什麼，但講話大聲清楚
很明確,沉穩,受限地,持續,堅定地,4,8,一位真誠的演講者，分享自己很內心的故事。
很明確,沉穩,清晰地,游移,猶豫不決地,5,5,故事清楚，但有時候會有不知道為什麼的猶疑。
很明確,沉穩,受限地,持續,堅定地,4,8,覺得演講內容非常真實且私密，感謝願意分享
很明確,沉穩,清晰地,持續,猶豫不決地,5,7,
很明確,不安,清晰地,持續,堅定地,2,5,跟我非常有共鳴!因為我也跟媽媽不好
很明確,沉穩,清晰地,持續,小心謹慎地,6,7,喔！！！我真的很受不了翻舊帳，真的要珍惜身邊的一切
很明確,沉穩,受限地,游移,猶豫不決地,5,5,我覺得不錯！
很明確,感覺出情緒,受限地,游移,小心謹慎地,5,7,加油 我也曾經跟媽媽關係很差
,不安,清晰地,游移,小心謹慎地,,,
很明確,不安,清晰地,游移,堅定地,5,7,學姊媽媽加油！！！
很明確,沉穩,含糊地,持續,堅定地,6,8,用語ㄑㄧㄤ.有態度，語句流暢，但建議不要有過多摸口鼻的動作
,,清晰地,游移,堅定地,4,8,
很明確,沉穩,清晰地,持續,堅定地,7,5,你媽媽會好起來的，加油！
很明確,沉穩,,持續,堅定地,4,4,
很明確,沉穩,清晰地,持續,堅定地,2,9,自然
不夠集中,沒什麼姿體語言,受限地,持續,堅定地,8,6,
很明確,沉穩,清晰地,持續,堅定地,4,8,
不夠集中,不安,受限地,游移,猶豫不決地,8,5,祝媽媽健康快樂！看不太到整個肢體表現
不夠集中,不安,含糊地,游移,小心謹慎地,4,8,
很明確,沉穩,清晰地,游移,堅定地,6,8,蠻清楚的呈現
不夠集中,沉穩,受限地,游移,猶豫不決地,7,4,
很明確,不安,受限地,游移,小心謹慎地,5,5,
很明確,不安,含糊地,游移,猶豫不決地,6,7,
,沉穩,受限地,游移,堅定地,7,6,故事直白
很明確,沉穩,清晰地,持續,堅定地,4,7,感覺蠻沈穩的
很微弱,不安,含糊地,游移,猶豫不決地,7,4,
很明確,不安,含糊地,游移,猶豫不決地,4,6,非常生活化
很明確,沉穩,清晰地,游移,猶豫不決地,5,6,語助詞多
不夠集中,做作,清晰地,游移,猶豫不決地,5,5,
很微弱,沉穩,清晰地,游移,小心謹慎地,5,5,
很明確,沉穩,含糊地,持續,堅定地,5,5,
不夠集中,做作,含糊地,游移,小心謹慎地,2,5,
很明確,沉穩,清晰地,持續,堅定地,3,7,自在真誠的把一件事好好說出。
不夠集中,不安,含糊地,游移,猶豫不決地,3,5,內容清晰，但眼神不夠堅定
很明確,沉穩,受限地,游移,小心謹慎地,6,7,
很明確,沉穩,沒什麼動作,持續,堅定地,6,7,雖然都是以陳述一件事情的口氣來敘述，但是真心希望你媽媽能好起來，畢竟家庭關係好不容易才和睦起來的😢
很明確,沉穩,受限地,游移,小心謹慎地,3,6,
不夠集中,做作,受限地,持續,小心謹慎地,4,6,
很微弱,不安,受限地,游移,小心謹慎地,4,5,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
